Name,Release Date,Platforms
Rising Hell,10/17/2019,PC (Windows)
Hitman 2: Silent Assassin,9/30/2002,PC (Windows)
"Tom Clancy's Rainbow Six Siege",12/1/2015,PC (Windows)
Cult of the Wind,6/30/2014,PC (Windows)
Genital Jousting,1/18/2018,PC (Windows)
Portal 2,4/19/2011,PC (Windows)
Amnesia: Rebirth,10/20/2020,PC (Windows)
Arma 2,6/17/2009,PC (Windows)
Kingdom Wars 2: Definitive Edition,7/9/2019,PC (Windows)
Nomads of Driftland,12/7/2020,PC (Windows)
Totally Accurate Battle Simulator,12/20/2019,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
TERA,1/25/2011,PC (Windows)
Borderlands: The Pre-Sequel,10/14/2014,PC (Windows)
Indie Game: The Movie,,
Company of Heroes - Legacy Edition,9/11/2006,PC (Windows)
Streamline,9/30/2016,PC (Windows)
Space Hulk Ascension,10/3/2014,PC (Windows)
Kingdom Wars 2: Battles,2/1/2015,PC (Windows)
Unturned,7/7/2017,PC (Windows)
Layers of Fear 2,,PC (Windows)
Arma Tactics,6/3/2013,PC (Windows)
Godfall,12/7/2021,PC (Windows)
Tell Me Why,8/27/2020,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
The Sims 3,6/2/2009,PC (Windows)
Control,8/27/2019,PC (Windows)
Tales of the Neon Sea,4/29/2019,PC (Windows)
The Crew 2,6/29/2018,PC (Windows)
Anomaly Korea,12/20/2012,PC (Windows)
Euro Truck Simulator 2,10/18/2012,PC (Windows)
Blair Witch,8/30/2019,PC (Windows)
UFO: Afterlight,2/9/2007,PC (Windows)
NFS Undercover,6/8/2010,Microsoft Xbox 360
Far Cry New Dawn,2/15/2019,PC (Windows)
Lake,9/1/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
PlanetSide 2,11/20/2012,PC (Windows)
Killing Floor,5/14/2009,PC (Windows)
Conarium,6/6/2017,PC (Windows)
Optica,8/28/2018,PC (Windows)
The Basement Collection,8/31/2012,
"Zuma's Revenge",,PC (Windows)
OF: Dragon Rising,10/6/2009,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
BattleBlock Theater,4/3/2013,PC (Windows)
Microsoft Solitaire Collection,7/28/2012,PC (Windows)
ASTRONEER,2/6/2019,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Jotun Valhalla Edition,9/8/2016,PC (Windows)
DEEEER Simulator: Your Average Everyday Deer Game,11/23/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
100 hidden frogs,11/15/2021,PC (Windows)
Doritos Crash Course,12/8/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Tormentor X Punisher,6/2/2017,PC (Windows)
Watch_Dogs,5/26/2014,PC (Windows)
Dying Light: Bad Blood,9/13/2018,PC (Windows)
Gone Home,8/15/2013,PC (Windows)
Crazy Machines 1.5 New from the Lab,10/1/2005,PC (Windows)
STCC: The Game,10/22/2008,PC (Windows)
FAR: Changing Tides Windows Edition,3/1/2022,PC (Windows)
Kraken Academy!!,3/22/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Combat Wings: Battle of Britain,10/14/2008,PC (Windows)
Escape Academy,7/14/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Bugsnax,4/28/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
KillingFloor2Beta,,PC (Windows)
ToeJam & Earl: Back in the Groove!,3/1/2019,PC (Windows)
Monopoly Plus,11/25/2014,PC (Windows)
Bastion,7/20/2011,PC (Windows)
State of Decay,6/5/2013,PC (Windows)
Fall Guys,8/4/2020,PC (Windows)
Burgers,8/11/2015,PC (Windows)
Far Cry 3 Blood Dragon,5/1/2013,PC (Windows)
Pixel Piracy,11/12/2013,PC (Windows)
Shadow Tactics Blades of the Shogun,12/6/2021,PC (Windows)
Ultima VIII Gold Edition,3/15/1994,PC (Windows)
Glacier 3: The Meltdown,9/21/2010,PC (Windows)
Full Throttle Remastered,10/29/2020,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Pillars of Eternity - Definitive Edition,11/15/2017,PC (Windows)
Red Faction: Armageddon,6/6/2011,PC (Windows)
Antstream Arcade,1/1/2001,PC (Windows)
Vampyr,6/4/2018,PC (Windows)
Minecraft for Windows,7/14/2015,PC (Windows)
"Tom Clancy's Rainbow Six Siege - Test Server",,PC (Windows)
Arma: Gold Edition,7/13/2011,PC (Windows)
Titanfall 2,10/28/2016,PC (Windows)
Sunrider: Mask of Arcadius,6/3/2014,PC (Windows)
ORION: Prelude,4/16/2013,PC (Windows)
Total War: WARHAMMER,5/24/2016,PC (Windows)
Teenagent,2/26/1994,PC (Windows)
Dungeon Keeper,6/26/1997,PC (Windows)
"Sid Meier's Civilization IV: Warlords",7/24/2006,PC (Windows)
City of Brass,5/4/2018,PC (Windows)
Papo & Yo,8/14/2012,PC (Windows)
Endorlight,4/26/2016,PC (Windows)
The Settlers 7 - History Edition,11/25/2018,PC (Windows)
Race with Ryan,11/1/2019,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Two Worlds: Epic Edition,4/30/2009,PC (Windows)
Ravensword: Shadowlands,12/6/2013,PC (Windows)
Hitman: Absolution,11/19/2012,PC (Windows)
Medal of Honor(TM) Multiplayer,10/12/2010,PC (Windows)
Wolfenstein: The New Order,5/20/2014,PC (Windows)
Gears of War 2,11/7/2008,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
"Tom Clancy's Ghost Recon Breakpoint",10/4/2019,PC (Windows)
Incredipede,2/1/2013,PC (Windows)
Gloomhaven,7/17/2019,PC (Windows)
Tyrian 2000,12/31/1995,PC (Windows)
Horizon Chase Turbo,8/20/2015,PC (Windows)
Dragonsphere,1/7/1994,PC (Windows)
Dungeon Defenders + All DLC,,
Dead Space 3,2/5/2013,PC (Windows)
Baseball Stars 2,2/1/1992,PC (Windows)
"Sid Meier's Civilization IV",10/25/2005,PC (Windows)
Coffee Talk,1/31/2020,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
IL-2: Birds of Prey,11/22/2011,Microsoft Xbox 360
The Elder Scrolls: Arena,3/25/1994,PC (Windows)
Keep In Mind,4/25/2016,PC (Windows)
Overcooked,8/3/2016,PC (Windows)
Shadowrun Returns,7/25/2013,PC (Windows)
Black Desert,7/14/2015,PC (Windows)
Galactic Arms Race,5/31/2014,PC (Windows)
Halo Infinite,11/15/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Robocraft,8/24/2017,PC (Windows)
Fallout 76,11/14/2018,PC (Windows)
Game Dev Tycoon,12/10/2012,PC (Windows)
Space Beast Terror Fright,4/6/2015,PC (Windows)
Hydro Thunder,7/8/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Magicka: Wizard Wars,5/27/2014,PC (Windows)
Test Drive Unlimited 2,2/8/2011,PC (Windows)
Pinball FX2,12/31/2012,PC (Windows)
CAYNE,1/24/2017,PC (Windows)
Metal Slug 3,1/2/2008,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
The Vanishing of Ethan Carter Redux,9/25/2014,PC (Windows)
My Friend Peppa Pig,10/22/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
South Park: The Fractured But Whole,10/17/2017,PC (Windows)
Alan Wake,5/14/2010,
PREY,2/1/1993,PC (Windows)
Harms Way,12/8/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Sentinels of the Multiverse,10/15/2014,PC (Windows)
Banjo Kazooie: N n B,1/5/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Snake Pass,3/28/2017,PC (Windows)
The Life and Suffering of Sir Brante - Chapter 1 & 2,12/1/2020,PC (Windows)
Prizefighter,6/10/2008,Microsoft Xbox 360
Jet Set Radio,6/29/2000,PC (Windows)
Age of Wonders III,3/31/2014,PC (Windows)
Greed Corp,2/24/2010,PC (Windows)
Dota 2,7/9/2013,PC (Windows)
Screencheat,10/21/2014,PC (Windows)
Total War: SHOGUN 2,3/15/2011,PC (Windows)
GlassWire,,PC (Windows)
Kingsway,7/18/2017,PC (Windows)
Destiny 2,9/6/2017,PC (Windows)
RACE On,12/18/2008,PC (Windows)
Portal Reloaded,4/19/2021,PC (Windows)
Rogue Legacy,6/27/2013,PC (Windows)
Forza Horizon 5,11/9/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Rebel Galaxy,10/20/2015,PC (Windows)
Iris Fall,1/7/2021,"Microsoft Xbox One, Microsoft Xbox Series"
Legends of Idleon MMO,,PC (Windows)
Borderlands 2,9/18/2012,PC (Windows)
Flight of the Amazon Queen,12/31/1995,PC (Windows)
"Sid Meier's Civilization V",9/21/2010,PC (Windows)
Lonely Mountains: Downhill,10/23/2019,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Interstellar Marines,7/2/2013,PC (Windows)
ACE - Arena: Cyber Evolution,7/1/2014,PC (Windows)
Minion Masters,5/24/2019,PC (Windows)
Viscera Cleanup Detail: Shadow Warrior,10/11/2013,PC (Windows)
Monster Hunter Rise,1/20/2023,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Golf With Your Friends,1/29/2016,PC (Windows)
Just Cause 2,3/23/2010,PC (Windows)
Overlord: Raising Hell,2/15/2008,PC (Windows)
Stranger Things 3: The Game,7/4/2019,PC (Windows)
Peggle 2,12/9/2013,"Microsoft Xbox One, Microsoft Xbox Series"
PAYDAY: The Heist,10/18/2011,PC (Windows)
Street Racing Syndicate,8/17/2004,PC (Windows)
Destroy All Humans!,4/29/2021,PC (Windows)
Mad Tracks,4/9/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
"TC's RainbowSix Vegas2",10/6/2009,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
PAW Patrol Mighty Pups Save Adventure Bay,11/6/2020,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
STEEP,12/1/2016,PC (Windows)
The Flame In The Flood,2/24/2016,PC (Windows)
Pupperazzi,1/20/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
"King's Bounty: Warriors of the North",10/25/2012,PC (Windows)
Anodyne 2: Return to Dust,8/12/2019,PC (Windows)
The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,6/16/2009,PC (Windows)
Red Dead Redemption,12/21/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Battlefield Hardline Beta - 2014,,PC (Windows)
Shock Troopers: 2nd Squad,11/5/1998,PC (Windows)
RESIDENT EVIL 5,3/29/2010,Microsoft Xbox 360
Guitar Hero II,1/1/2008,Microsoft Xbox 360
Take On Helicopters,9/4/2011,PC (Windows)
Stargunner,12/31/1982,PC (Windows)
BioShock Remastered,9/14/2016,PC (Windows)
SCP: Secret Laboratory,12/28/2017,PC (Windows)
Crazy Machines,10/1/2005,PC (Windows)
Dishonored - Definitive Edition,10/8/2013,PC (Windows)
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",12/4/2015,PC (Windows)
Stikbold! A Dodgeball Adventure,4/1/2016,PC (Windows)
Wargame: Red Dragon,3/4/2014,PC (Windows)
Starbound,7/22/2016,PC (Windows)
Alan Wake,5/14/2010,PC (Windows)
Fort Triumph,4/16/2020,PC (Windows)
Command and Conquer: Red Alert 3 - Uprising,3/12/2009,PC (Windows)
Dagon: by H. P. Lovecraft,,PC (Windows)
PAW Patrol: Grand Prix,9/30/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Game Room,3/24/2010,Microsoft Xbox 360
Terraria,5/16/2011,PC (Windows)
Boomerang Fu,8/13/2020,PC (Windows)
Crysis 2 Maximum Edition,3/22/2011,PC (Windows)
The King of Fighters 2002,1/10/2002,PC (Windows)
"Sid Meier's Civilization IV",10/25/2005,PC (Windows)
Borderlands,10/19/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Shank 2,2/7/2012,
Hacker Evolution,7/5/2007,PC (Windows)
PAW Patrol The Movie: Adventure City Calls,8/13/2021,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Fable II,4/6/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
"Doomdark's Revenge",12/31/1985,PC (Windows)
"Discovery Tour by Assassin's Creed: Ancient Egypt",2/20/2018,PC (Windows)
SpaceChem,1/1/2011,PC (Windows)
Tengami,10/27/2014,PC (Windows)
Team Fortress 2,10/9/2007,PC (Windows)
Burnout Paradise The Ultimate Box,2/3/2009,PC (Windows)
Call of Duty: WaW,9/21/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Crysis 2 Maximum Edition,3/22/2011,PC (Windows)
The Sims 4,11/17/2017,"Microsoft Xbox One, Microsoft Xbox Series"
Company of Heroes: Opposing Fronts,9/25/2007,PC (Windows)
Hektor,3/13/2015,PC (Windows)
Pacific Storm: Allies,7/1/2008,PC (Windows)
Peggle,3/11/2009,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
You Suck at Parking,9/14/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
No Time To Explain,5/17/2016,"Microsoft Xbox One, Microsoft Xbox Series"
Left 4 Dead,11/17/2008,PC (Windows)
This Is the Police,7/27/2016,PC (Windows)
TUNIC,3/16/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Castle Crashers,8/27/2008,PC (Windows)
Psychonauts,4/19/2005,PC (Windows)
Golf It!,2/17/2017,PC (Windows)
Serious Sam Fusion 2017 (beta),3/20/2017,PC (Windows)
"10,000,000",2/17/2012,PC (Windows)
Fortix,3/3/2010,PC (Windows)
Defy Gravity,7/25/2011,PC (Windows)
"Alan Wake's American Nightmare",2/22/2012,PC (Windows)
Bionic Dues,10/8/2013,PC (Windows)
Dead Island Retro Revenge,6/1/2016,PC (Windows)
Trove,7/5/2015,PC (Windows)
Mutazione,9/19/2019,PC (Windows)
Conan Exiles,5/8/2018,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Crash Time 2,11/27/2008,PC (Windows)
Crazy Machines 2,6/20/2008,PC (Windows)
Daggerfall Unity - GOG Cut,,PC (Windows)
10 Second Ninja X,7/19/2016,PC (Windows)
Modern Warfare,9/21/2010,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
GTA IV PC,2/12/2008,Microsoft Xbox 360
Mass Effect: Andromeda,3/21/2017,PC (Windows)
Blind Fate: Edo no Yami - Dojo,,PC (Windows)
Frozen Synapse,5/26/2011,PC (Windows)
Genshin Impact,9/28/2020,PC (Windows)
Insurmountable,4/29/2021,PC (Windows)
FUEL,6/2/2009,PC (Windows)
while True: learn(),,PC (Windows)
The Vanishing of Ethan Carter,9/25/2014,PC (Windows)
Hundred Days - Winemaking Simulator,5/13/2021,PC (Windows)
Battlefield 3,10/25/2011,PC (Windows)
Warsow,10/8/2012,PC (Windows)
State of Decay 2: Juggernaut Edition,5/22/2018,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Theme Hospital,2/4/1997,PC (Windows)
Takedown: Red Sabre,9/20/2013,PC (Windows)
Saints Row IV,8/19/2013,PC (Windows)
Overlord II,6/23/2009,PC (Windows)
Riverbond,6/9/2019,PC (Windows)
Blasphemous,9/10/2019,PC (Windows)
Clustertruck,9/27/2016,PC (Windows)
Operation Flashpoint: Red River,4/21/2011,PC (Windows)
Afterfall InSanity - Dirty Arena Edition,5/9/2013,PC (Windows)
Teamfight Tactics,6/26/2019,PC (Windows)
Halo 4,11/6/2012,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Umurangi Generation Special Edition,5/17/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Really Big Sky,2/24/2012,PC (Windows)
Thief,2/25/2014,PC (Windows)
Quake II RTX,6/6/2019,PC (Windows)
Lightmatter,1/15/2020,PC (Windows)
Sinless,12/16/2015,PC (Windows)
"Mirror's Edge",11/11/2008,PC (Windows)
Kane & Lynch 2: Dog Days,8/17/2010,PC (Windows)
Dying Light,1/26/2015,PC (Windows)
Fallout 4,11/9/2015,PC (Windows)
Watch Dogs2,11/15/2016,"Microsoft Xbox One, Microsoft Xbox Series"
Darkwood,8/17/2017,PC (Windows)
"Sid Meier's Civilization VI",10/20/2016,PC (Windows)
VRChat,2/1/2017,PC (Windows)
"Hamilton's Great Adventure",5/31/2011,PC (Windows)
Supraland,,PC (Windows)
Chivalry: Medieval Warfare,10/16/2012,PC (Windows)
Killing Floor 2,11/18/2016,PC (Windows)
Bloop,1/16/2015,PC (Windows)
Populous,6/5/1989,PC (Windows)
F.I.S.T.: Forged In Shadow Torch,9/7/2021,PC (Windows)
Dead Island: Epidemic,11/20/2014,PC (Windows)
ARK: Survival Of The Fittest,3/15/2016,PC (Windows)
Grounded,9/27/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Cities in Motion 2,4/2/2013,PC (Windows)
Dead Pixels,12/4/2012,PC (Windows)
A Memoir Blue,3/24/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
Grand Theft Auto V,4/20/2018,PC (Windows)
Teleglitch: Die More Edition,11/22/2012,PC (Windows)
BioShock,8/6/2009,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Tales from the Borderlands,11/25/2014,PC (Windows)
Clicker Heroes,3/10/2017,Microsoft Xbox One
Dead Island Definitive Edition,5/31/2016,PC (Windows)
Serious Sam 4,12/7/2021,PC (Windows)
Mercenaries 2,6/16/2010,Microsoft Xbox 360
Pulstar,7/6/2017,PC (Windows)
Gun Monkeys,6/28/2013,PC (Windows)
Turtles In Time RS,8/5/2009,Microsoft Xbox 360
Halo 5: Guardians,10/27/2015,"Microsoft Xbox One, Microsoft Xbox Series"
WATCH_DOGS 2,11/15/2016,PC (Windows)
Firewatch,9/21/2016,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
AdVenture Capitalist,5/30/2014,PC (Windows)
The Mighty Quest For Epic Loot,2/5/2015,PC (Windows)
Army of Two,10/20/2009,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Our Life: Beginnings & Always,11/16/2020,PC (Windows)
Fight Night Round 4,7/3/2010,Microsoft Xbox 360
Blazing Star,1/19/1998,PC (Windows)
Sin Slayers: The First Sin,4/11/2019,PC (Windows)
Alien Swarm,7/10/2010,PC (Windows)
The King of Fighters 2002 Unlimited Match,2/26/2009,PC (Windows)
Darksiders,1/5/2010,PC (Windows)
Zuma,10/3/2005,"Microsoft Xbox 360, Microsoft Xbox One, Microsoft Xbox Series"
Surviving Mars,3/15/2018,PC (Windows)
Child of Light,4/29/2014,PC (Windows)
Titan Souls,4/14/2015,PC (Windows)
Majesty Gold HD,3/31/2001,PC (Windows)
FaeVerse Alchemy,4/2/2014,PC (Windows)
Stealth Bastard Deluxe,11/4/2011,PC (Windows)
Damnation,5/22/2009,PC (Windows)
Switchcars,3/4/2016,PC (Windows)
Joe Danger 2: The Movie,9/14/2012,PC (Windows)
The Sims 2 Ultimate Collection,7/13/2014,PC (Windows)
"Clive Barker's Jericho",10/23/2007,PC (Windows)
Somerville,11/15/2022,"Microsoft Xbox One, Microsoft Xbox Series, PC (Windows)"
